구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
,,선생님,그래 세무사랑 공인중개사구나. 우선 관련된 학과에서 권장하는 과목을 중심으로 확인해보자. 그 중에 미적분이 있는지도 보고 선택할 수 있는 과목을 골라보는거야. 미적분 말고 다른 과목도 검토해보려면 선생님이 08이 성적이랑 수요조사 자료도 같이 봐야할 것 같은데 시간 짧게 내서 상담 해볼까?,,,,,,,,,,,
,,학생,네네 저 최대한 유리한 과목으로 고르려구요,,,,,,,,,,,
,,선생님,알겠어 이따 선생님이랑 검토해보자,,,,,,,,,,,
,,학생,넵 감사합니다.,,,,,,,,,,,
098,고교학점제,학생,선생님 저 선택과목 바꾸고 싶은데 어떻게 하죠,,,,,,,,,,,
,,선생님,08아 선택과목때문에 고민이 많은 것 같아. 지금 가장 고민인 부분이 뭘까?,,,,,,,,,,,
,,학생,저 지금은 화학 생물 지구과학을 수강하고 있는데 셍명과학이 너무 공부하기도 힘들고 마킹 실수해서 이번에 5등급이 돼버렸어요. 그래서 뭔가 더 공부하기도 두렵고 제 진로랑 관련도 없어서 바꾸고 싶어요.,,,,,,,,,,,
,,선생님,성적도 기대한 만큼 나오지 않아서 실망하고 진로랑도 연관도가 낮아보여서 흥미가 떨어졌구나. 그럴 수 있어. 지금 바꾸고 싶은 선택과목은 어떤 과목이야?,,,,,,,,,,,
,,학생,2학기에 세계지리로 바꿀까 생각해봤어요. 원래 좋아하던 과목이라서 선택할까 하는데 나중에 학종으로 갈때 안좋은 영향을 끼칠까봐 선뜻 선택을 못하겠더라구요. 근데 저는 이과고 진로는 화학관련이라 위험한 선택을 하는 걸까봐 너무 복잡해요. 이게 싫어해서 바꾸는 것처럼 보일까봐서요,,,,,,,,,,,
,,선생님,입시전형에 부정적일까봐 걱정했구나. 그럴 수 있어. 우선 목표하는 화학 관련으로 권장 과목을 확인해보자. 그런 다음에 필수로 챙겨야할 부분과 아닌 부분을 검토해 보는거지. 그리고 생각보다 과목을 바꾸려는 학생들이나 진로가 바뀌는 학생들은 많아. 선생님이랑 상담하면서 고민을 하나하나 풀어보자.,,,,,,,,,,,
,,학생,네 감사합니다. 진짜 입시 생각하면서 과목 선택하고 하는게 너무 힘들어요,,,,,,,,,,,
,,선생님,맞아 선택하는 건 정말 어렵지. 그럴땐 하나씩 짚어가면서 차근차근히 생각해보면돼. 너무 걱정하지 말고 상담하면서 해결해보자,,,,,,,,,,,
,,학생,네.. 감사합니다.,,,,,,,,,,,
099,고교학점제,선생님,그래 08이는 선택과목 정하는 거 괜찮아?,,,,,,,,,,,
,,학생,쌤 안그래도 저 약간 고민돼서요,,,,,,,,,,,
,,선생님,어떤 부분이 가장 고민돼?,,,,,,,,,,,
,,학생,지금 약사가 되고 싶은데 결정한지 얼마 안돼서 1학년 1학기 성적이 별로 안좋아서요. 부족한 건 아는데 이번 학기에는 성적이 오르긴 했거든요. 일단 평균 3등급 중반이 나올 것 같아서 조금 걱정이에요. 생기부는 다 약대로 쓰고 있는데 성적도 걱정되고. 꼭 되고 싶어서요,,,,,,,,,,,
,,선생님,그래 08이가 약사가 되고 싶은데 성적때문에 고민하고 있구나. 확실히 성적도 높아야 하는 편이지. 하지만 입시 전형마다 평균 내신이 조금씩 다르기도 하니까 우선 최선을 다해서 공부하는 것이 중요해. 그리고 권장하는 과목을 선택하는 것도. 비슷한 분야의 학과들은 권장 과목도 비슷하니까 포괄적으로 판단해봐도 좋을 것 같아.,,,,,,,,,,,
,,학생,근데 약대 못가면 약사 못하는 거 아니에요?,,,,,,,,,,,
,,선생님,쉬운 길은 아니지. 하지만 포기하라는 건 아니야. 약대를 목표로 공부하면서 다른 대안도 함께 고려할 수 있다면 나중에 08이가 원서 넣을 때 고민하는 시간을 줄여줄 수도 있어. 아예 연관이 없는 학과가 아니라 비슷하거나 같은 계열이면 준비한 것들로 지원하는 데에 어색하지 않을 거야.,,,,,,,,,,,
,,학생,알겠습니다. 일단 공부는 계속하고 선택과목 정하는거 도와주셨으면 좋겠어요,,,,,,,,,,,
,,선생님,그래! 약대랑 가장 비슷한 화학이나 생명과학같이 과학이나 의학 계열로 폭넓게 검토해보면서 도움을 줄 수 있을 것 같네,,,,,,,,,,,
,,학생,네네 그럼 이따 뵐께요.,,,,,,,,,,,
100,고교학점제,학생,쌤 2학년때 선택과목 뭐할지 모르겠어요. 중앙대 소프트웨어 학부쪽을 목표로하는데 뭐가 좋을까요?,,,,,,,,,,,
,,선생님,08이는 대학이랑 학부도 목표가 명확하네! 그럼 소프트웨어 학과의 추천과목을 선생님이 알려줄 수 있을 것 같아.,,,,,,,,,,,
,,학생,근데 제가 성적이 막 그렇게 높은 편이 아니니까 어떤 과목 선택했다가 괜히 성적 낮아질까봐 조금 걱정이에요,,,,,,,,,,,
,,선생님,그래? 그럼 08이는 목표가 명확하니까 선생님이 08이 성적이랑 과목 수요조사랑 비교해서 어떤게 더 유리할지 잠깐 시간내서 선생님이랑 상담하면 좋을 것 같은데?,,,,,,,,,,,
,,학생,오 좋아요 그럼 그렇게 할게요. 딱히 진로나 생각하는 학과가 바뀔일은 없어서요.,,,,,,,,,,,
,,선생님,알겠어 그럼 이따 보는걸로 하자,,,,,,,,,,,
,,학생,넵 감사합니다,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
